Company, Ticker,Exchange
Activision Blizzard Inc, ATVI,NASDAQ
Actuant Corp, ATU,NYSE
Actuate Corporation, ACTU,NASDAQ
Actv, IATV,NASDAQ
Acuity Brands Inc, AYI,NYSE
AcuityAds Holdings Inc, ATY,NASDAQ
Acumen Pharmaceuticals Inc, ABOS,NASDAQ
Acurx Pharmaceuticals Inc, ACXP,NASDAQ
Acushnet Holdings Corp, GOLF,NYSE
Acutus Medical Inc, AFIB,NASDAQ
ACV Auctions Inc, ACVA,NASDAQ
Adagio Therapeutics Inc, ADGI,NASDAQ
Adamas Pharmaceuticals Inc, ADMS,NASDAQ
Adamis Pharmaceuticals Corporation, ADMP,NASDAQ
Adams Diversified Equity Fund Inc, ADX,NYSE
Adams Golf, ADGF,NASDAQ
Adams Natural Resources Fund Inc, PEO,NYSE
Adams Resources and Energy Inc, AE,AMEX
Adams Respiratory Therapeutics, ARXT,NASDAQ
AdaptHealth Corporation, AHCO,NASDAQ
Adaptive Biotechnologies Corporation, ADPT,NASDAQ
Adaptive Insights, ADIN,NYSE
Adara Acquisition Corp, ADRA,AMEX
Adc Telecommunications, ADCTD,NASDAQ
Adc Telecommunications New, ADCT,NASDAQ
ADC Therapeutics SA, ADCT,NYSE
ADD TEC Energy PLC, ADSE,NASDAQ
Addus HomeCare Corp, ADUS,NASDAQ
ADDvantage Technologies Group Inc, AEY,NASDAQ
Ade, ADEX,NASDAQ
Adecoagro SA, AGRO,NYSE
Adept Technology, ADTK,NASDAQ
Adesto Technologies Corporation, IOTS,NASDAQ
Adeza Biomedical, ADZA,NASDAQ
Adial Pharmaceuticals Inc, ADIL,NASDAQ
Adicet Bio Inc, ACET,NASDAQ
Adient plc, ADNT,NYSE
Adit EdTech Acquisition Corp, ADEX,NYSE
ADiTx Inc, ADTX,NASDAQ
Adma Biologics Inc, ADMA,NASDAQ
Adobe Inc, ADBE,NASDAQ
Adolor Corp., ADLR,NASDAQ
ADOMANI Inc, ADOM,NASDAQ
Adstar Wts 12/16/2004, ADSTW,NASDAQ
ADT Inc, ADT,NYSE
Adtalem Global Education Inc, ATGE,NYSE
AdTheorent Holding Company Inc, ADTH,NASDAQ
ADTRAN Inc, ADTN,NASDAQ
Aduro Biotech Inc, ADRO,NASDAQ
Advance Auto Parts, AAP,NYSE
Advance Finl Bancorp, AFBC,NASDAQ
Advanced Analogic Technologies, AATI,NASDAQ
Advanced Battery Technologies, ABAT,NASDAQ
Advanced Digital Information, ADIC,NASDAQ
Advanced Disposal Services Inc, ADSW,NYSE
Advanced Drainage Systems Inc, WMS,NYSE
Advanced Emissions Solutions Inc, ADES,NASDAQ
Advanced Energy Industries Inc, AEIS,NASDAQ
Advanced Environmental Recycling Technologies, AERTA,NASDAQ
Advanced Fibre Communications, AFCI,NASDAQ
Advanced Inhalation Therapies, AITPU,NASDAQ
Advanced Merger Partners Inc, AMPI,NYSE
Advanced Micro Devices Inc, AMD,NASDAQ
Advanced Micro Devices Inc, AMD,NASDAQ
Advanced Neuromodulation Systems, ANSI,NASDAQ
Advancis Pharmaceutical, AVNC,NASDAQ
AdvanSix Inc, ASIX,NYSE
Advanta Corp Class A, ADVNA,NASDAQ
Advanta Corp Class B, ADVNB,NASDAQ
Advantage Solutions Inc, ADV,NASDAQ
Advaxis Inc, ADXS,NASDAQ
Advent Technologies Holdings Inc, ADN,NASDAQ
Adverum Biotechnologies Inc, ADVM,NASDAQ
Advisorshares Yieldpro Etf, YPRO,NASDAQ
AEABridges Impact Corp, IMPX,NYSE
AECOM, ACM,NYSE
Aegerion Pharmaceuticals, AEGR,NASDAQ
Aegion Corporation, AEGN,NASDAQ
Aeglea BioTherapeutics Inc, AGLE,NASDAQ
Aegon Funding Company LLC, AEFC,NYSE
AEGON Insurance Group, AEG,NYSE
AEGON Insurance Group, AEG,NYSE
Aehr Test Systems, AEHR,NASDAQ
Aemetis Inc, AMTX,NASDAQ
AEON Biopharma Inc, AEON,NASDAQ
Aep Industries Inc., AEPI,NASDAQ
Aequi Acquisition Corporation, ARBG,NASDAQ
Aercap Holdings NV, AER,NYSE
Aerie Pharmaceuticals Inc, AERI,NASDAQ
Aero Grow Intl, AEROE,NASDAQ
Aerocentury Corp, ACY,AMEX
AeroClean Technologies Inc, AERC,NASDAQ
Aeroflex Inc., ARXX,NASDAQ
Aerohive Networks Inc, HIVE,NYSE
Aerojet Rocketdyne Holdings Inc, AJRD,NYSE
Aerovate Therapeutics Inc, AVTE,NASDAQ
AeroVironment Inc, AVAV,NASDAQ
Aerpio Pharmaceuticals Inc, ARPO,NASDAQ
AerSale Corporation, ASLE,NASDAQ
AES Corp, AES,NYSE
AES Corporation The, AESC,NYSE
Aesther Healthcare Acquisition Corporation, AEHA,NASDAQ
Aeterna Zentaris Inc, AEZS,NASDAQ
Aether, AETH,NASDAQ
Aetherium Acquisition Corporation, GMFIU,NASDAQ
Aethlon Medical Inc, AEMD,NASDAQ
Aeva Technologies Inc, AEVA,NYSE
Aevi Genomic Medicine Inc, GNMX,NASDAQ
AEye Inc, LIDR,NASDAQ
AF Acquisition Corporation, AFAQ,NASDAQ
AFC Gamma Inc, AFCG,NASDAQ
Affiliated Managers Group Inc, MGRB,NYSE
Affiliated Managers Group Inc, MGR,NYSE
Affiliated Managers Group Inc, AMG,NYSE
Affimed NV, AFMD,NASDAQ
Affinity Bancshares Inc, AFBI,NASDAQ
Affirm Holdings Inc, AFRM,NASDAQ
Affymetrix, AFFX,NASDAQ
AFLAC Inc, AFL,NYSE
African Gold Acquisition Corp, AGACU,NYSE
African Gold Acquisition Corporation, AGAC,NYSE
AfterNext HealthTech Acquisition Corp, AFTR,NYSE
Afya Ltd, AFYA,NASDAQ
AG Mortgage Investment Trust Inc, MITT,NYSE
Aga Medical Holdings Com, AGAM,NASDAQ
AGBA Acquisition Ltd, AGBA,NASDAQ
AGCO Corp, AGCO,NYSE
AgEagle Aerial Systems Inc, UAVS,AMEX
Agenus Inc, AGEN,NASDAQ
Agenus Inc., AGEND,NASDAQ
AgeX Therapeutics Inc, AGE,AMEX
Agile Growth Corporation, AGGR,NASDAQ
Agile Therapeutics Inc, AGRX,NASDAQ
Agilent Technologies, A,NYSE
AgileThought Inc, AGIL,NASDAQ
Agiliti Inc, AGTI,NYSE
Agilon Health inc, AGL,NYSE
Agilysys Inc, AGYS,NASDAQ
Agios Pharmaceuticals Inc, AGIO,NASDAQ
AGM Group Holdings Inc, AGMH,NASDAQ
AGNC Investment Corporation, AGNC,NASDAQ
Agnico Eagle Mines Ltd, AEM,NYSE
Agnico-Eagle Mines Ltd, AEMLW,NASDAQ
Agree Realty Corporation, ADC,NYSE
Agria Corp. American Depositary Shares, GRO,NYSE
Agrico Acquisition Corporation, RICO,NASDAQ
AgriFORCE Growing Systems Ltd, AGRI,NASDAQ
Agrify Corporation, AGFY,NASDAQ
AgroFresh Solutions Inc, AGFS,NASDAQ
Ahren Acquisition Corporation, AHRNU,NASDAQ
Aileron Therapeutics Inc, ALRN,NASDAQ
AIM ImmunoTech Inc, AIM,AMEX
Aimmune Therapeutics Inc, AIMT,NASDAQ
Air Industries Group, AIRI,AMEX
Air Lease Corporation, AL,NYSE
Air Methods Corp., AIRM,NASDAQ
Air Products and Chemicals Inc, APD,NYSE
Air T Inc, AIRT,NASDAQ
Air T Inc, AIRTP,NASDAQ
Air Transport Services Group Inc, ATSG,NASDAQ
Air Via, AIRV,NASDAQ
Airbnb Inc, ABNB,NASDAQ
Aircastle Limited, AYR,NYSE
Airgain Inc, AIRG,NASDAQ
Airgas, ARG,NYSE
Airmedia Grp. ADS, AMCN,NASDAQ
Airnet Communications, ANCC,NASDAQ
AirSculpt Technologies Inc, AIRS,NASDAQ
Airspan Networks, AIRN,NASDAQ
Airspan Networks Holdings Inc, MIMO,AMEX
Aixtron SE ADS, AIXG,NASDAQ
AK Steel Holding Corp, AKS,NYSE
Akamai Technologies Inc, AKAM,NASDAQ
Akazoo SA, SONG,NASDAQ
Akcea Therapeutics Inc, AKCA,NASDAQ
Akebia Therapeutics Inc, AKBA,NASDAQ
Akeena Solar, AKNS,NASDAQ
Akela Pharma Ord, AKLA,NASDAQ
Akerna Corporation, KERN,NASDAQ
Akero Therapeutics Inc, AKRO,NASDAQ
Akers Biosciences Inc, AKER,NASDAQ
Akorn Inc, AKRX,NASDAQ
Akouos Inc, AKUS,NASDAQ
Akoustis Technologies Inc, AKTS,NASDAQ
Akoya BioSciences Inc, AKYA,NASDAQ
Akumin Inc, AKU,NASDAQ
Alabama Aircraft Industr, AAII,NASDAQ
Alabama Natl Bancorp, ALAB,NASDAQ
Aladdin Knowledge Systems Ltd, ALDN,NASDAQ
Alamo Group Inc, ALG,NYSE
Alamos Gold Inc New, AGI,NYSE
Alamosa Holdings, APCS,NASDAQ
Alanco Technologies Inc., ALAND,NASDAQ
Alarm com Holdings Inc, ALRM,NASDAQ
Alaska Air Group Inc, ALK,NYSE
Alaska Communications Systems Group Inc, ALSK,NASDAQ
Albany International Corp, AIN,NYSE
Albany Molecular Research, AMRI,NASDAQ
Albemarle Corp, ALB,NYSE
Albemarle First Bank (Charlottesville, AFBK,NASDAQ
Albemarle First Bank (Charlottesville, AFBKW,NASDAQ
Alberton Acquisition Corporation, ALAC,NASDAQ
Albertsons Companies Inc, ACI,NYSE
Albireo Pharma Inc, ALBO,NASDAQ
Alcentra Capital Corporation, ABDC,NASDAQ
Alco Stores, DUCK,NASDAQ
Alcoa Corporation, AA,NYSE
Alcoa Corporation, AA,NYSE
Alcon Inc, ALC,NYSE
Aldel Financial Inc, ADF,NYSE
Alder BioPharmaceuticals Inc, ALDR,NASDAQ
Aldeyra Therapeutics Inc, ALDX,NASDAQ
Alector Inc, ALEC,NASDAQ
Alerus Financial Corporation, ALRS,NASDAQ
Alexander and Baldwin Holdings Inc, ALEX,NYSE
Alexanders Inc, ALX,NYSE
Alexandria Real Estate Equities Inc, ARE,NYSE
Alexco Resource Corp, AXU,AMEX
Alexion Pharmaceuticals Inc, ALXN,NASDAQ
ALFI Inc, ALF,NASDAQ
Algoma Steel Group Inc, ASTL,NASDAQ
Algonquin Power, AQN,NYSE
Algonquin Power & Utilities Corp, AQNA,NYSE
Algonquin Power & Utilities Corp, AQNB,NYSE
Algonquin Power and Utilities Corporation, AQNU,NYSE
Alibaba Group Holding Limited, BABA,NYSE
Alico Inc, ALCO,NASDAQ
ALIGHT INC, ALIT,NASDAQ
Alight Inc, ALIT,NYSE
Align Technology Inc, ALGN,NASDAQ
Alignment Healthcare Inc, ALHC,NASDAQ
Aligos Therapeutics Inc, ALGS,NASDAQ
Alimera Sciences Inc, ALIM,NASDAQ
Alio Gold Inc, ALO,AMEX
Alithya Group inc, ALYA,NASDAQ
ALJ Regional Holdings Inc, ALJJ,NASDAQ
Alkaline Water Company Inc, WTER,NASDAQ
Alkami Technology Inc, ALKT,NASDAQ
Alkermes Plc, ALKS,NASDAQ
Alkido Pharma Inc, AIKI,NASDAQ
Alkuri Global Acquisition Corporation, KURI,NASDAQ
Allakos Inc, ALLK,NASDAQ
Allarity Therapeutics Inc, ALLR,NASDAQ
Allbirds Inc, BIRD,NASDAQ
Alleghany Corp, Y,NYSE
Allegheny Technologies Inc, ATI,NYSE
Allegiance Bancshares Inc, ABTX,NASDAQ
Allegiance Telecom, ALGX,NASDAQ
Allegiant Travel Company, ALGT,NASDAQ
Allegion Plc, ALLE,NYSE
Allegro Merger Corporation, ALGR,NASDAQ
Allegro MicroSystems Inc, ALGM,NASDAQ
Allena Pharmaceuticals Inc, ALNA,NASDAQ
Allergan plc, AGN,NYSE
Allete Inc, ALE,NYSE
Alliance Bancorp of Pennsylvania, ALLBD,NASDAQ
Alliance Bankshares Corp., ABVA,NASDAQ
Alliance Data Systems, ADS,NYSE
Alliance Fiber Optic Products, AFOP,NASDAQ
Alliance Fiber Optic Products, AFOPD,NASDAQ
Alliance Financial Corp., ALNC,NASDAQ
Alliance One International, AOI,NYSE
AllianceBernstein Global High Income Fund Inc, AWF,NYSE
AllianceBernstein Holding LP, AB,NYSE
Alliancebernstein Income Fund, ACG,NYSE
AllianceBernstein National Municipal Income Fund Inc, AFB,NYSE
Alliant Energy Corporation, LNT,NASDAQ
Allied Esports Entertainment Inc, AESE,NASDAQ
Allied Healthcare International Inc., AHCI,NASDAQ
Allied Healthcare Products Inc, AHPI,NASDAQ
Allied Motion Technologies Inc, AMOT,NASDAQ
Allion Healthcare, ALLI,NASDAQ
Alliqua Biomedical, ALQA,NASDAQ
Allogene Therapeutics Inc, ALLO,NASDAQ
Allos Therapeutics, ALTH,NASDAQ
Allot Ltd, ALLT,NASDAQ
AlloVir Inc, ALVR,NASDAQ
Alloy, ALOYD,NASDAQ
Alloy, ALOY,NASDAQ
Allscripts Healthcare Solutions Inc, MDRX,NASDAQ
Allscripts-Misys Healthcare Solutions, MDRXD,NASDAQ
Allspring Global Dividend Opportunity Fund, EOD,NYSE
Allspring Income Opportunities Fund, EAD,AMEX
Allspring Multi Sector Income Fund, ERC,AMEX
Allspring Utilities and High Income Fund, ERH,AMEX
Allstate Corporation, ALL,NYSE
Allstream, ALLSA,NASDAQ
Allstream, ALLSB,NASDAQ
Allvue Systems Holdings Inc, ALVU,NYSE
Ally Financial Inc, ALLY,NYSE
Almaden Minerals Ltd New, AAU,AMEX
Alnylam Pharmaceuticals Inc, ALNY,NASDAQ
Alpha and Omega Semiconductor Limited, AOSL,NASDAQ
Alpha Capital Acquisition Company, ASPC,NASDAQ
Alpha Healthcare Acquisition Corporation, AHAC,NASDAQ
Alpha Healthcare Acquisition Corporation III, ALPA,NASDAQ
Alpha Metallurgical Resources Inc, AMR,NYSE
Alpha Partners Technology Merger Corporation, APTM,NASDAQ
Alpha Pro Tech Ltd, APT,AMEX
Alpha Star Acquisition Corporation, ALSAU,NASDAQ
Alpha Teknova Inc, TKNO,NASDAQ
Alphabet Inc, GOOG,NASDAQ
Alphabet Inc, GOOGL,NASDAQ
Alphasmart, ALSM,NASDAQ
Alphatec Holdings Inc, ATEC,NASDAQ
Alpine 4 Holdings Inc, ALPP,NASDAQ
Alpine Acquisition Corporation, REVE,NASDAQ
Alpine Immune Sciences Inc, ALPN,NASDAQ
Alpine Income Property Trust Inc, PINE,NYSE
Alset EHome International Inc, AEI,NASDAQ
ALSP Orchid Acquisition Corporation I, ALORU,NASDAQ
Alta Equipment Group Inc, ALTG,NYSE
Alta Mesa Resources Inc, AMR,NASDAQ
Altaba Inc, AABA,NASDAQ
AltaBancorp, ALTA,NASDAQ
Altair Engineering Inc, ALTR,NASDAQ
Altair Nanotechnologies Inc., ALTID,NASDAQ
Altamira Therapeutics Ltd, CYTO,NASDAQ
AltC Acquisition Corp, ALCC,NYSE
AltEnergy Acquisition Corporation, AEAE,NASDAQ
AltEnergy Acquisition Corporation, AEAEU,NASDAQ
Alterity Therapeutics Limited, ATHE,NASDAQ
Alterra Capital Holdings Limited, ALTE,NASDAQ
Alteryx Inc, AYX,NYSE
Alteva, WWVY,NASDAQ
Altice USA Inc, ATUS,NYSE
Altimar Acquisition Corp II, ATMR,NYSE
Altimar Acquisition Corp III, ATAQ,NYSE
Altimar Acquisition Corporation, ATAC,NYSE
Altimeter Growth Corp 2, AGCB,NYSE
Altimeter Growth Corporation, AGC,NASDAQ
Altimmune Inc, ALT,NASDAQ
Altisource Asset Management Corporation, AAMC,AMEX
Altisource Portfolio Solutions S.A., ASPSV,NASDAQ
Altisource Portfolio Solutions SA, ASPS,NASDAQ
Altitude Acquisition Corporation, ALTU,NASDAQ
Alto Ingredients Inc, ALTO,NASDAQ
Alto Ingredients Inc, PEIX,NASDAQ
Altra Industrial Motion Corporation, AIMC,NASDAQ
Altria Group Inc, MO,NYSE
Altria Group Inc, MO,NYSE
Altus Midstream Company, ALTM,NASDAQ
Altus Power Inc, AMPS,NYSE
Aluminum Corporation of China Ltd, ACH,NYSE
Alussa Energy Acquisition Corp, ALUS,NYSE
Alussa Energy Acquisition Corp., ALUSU,NYSE
ALX Oncology Holdings Inc, ALXO,NASDAQ
Alzamend Neuro Inc, ALZN,NASDAQ
Alzheon, ALZH,NASDAQ
AMAG Pharmaceuticals Inc, AMAG,NASDAQ
Amalgamated Financial Corporation, AMAL,NASDAQ
A-Max Tech Ltd Adr, AMAX,NASDAQ
Amazon com, AMZN,NASDAQ
Ambac Financial Group Inc, AMBC,NASDAQ
Ambac Financial Group Inc, AMBC,NYSE
Ambarella Inc, AMBA,NASDAQ
Ambassadors International, AMIE,NASDAQ
Ambassadors International, AMIED,NASDAQ
Ambev SA, ABEV,NYSE
Ambev SA, ABEV,NYSE
Ambrx Biopharma Inc, AMAM,NYSE
AMC Entertainment Holdings Inc, AMC,NYSE
AMC Entertainment Holdings Inc, AMC,NYSE
AMC Networks Inc, AMCX,NASDAQ
Amc Networks Inc., AMCXV,NASDAQ
AMCI Acquisition Corporation II, AMCI,NASDAQ
AMCI Acquisition Corporation II, AMCIU,NASDAQ
Amcomp Incorporated, AMCP,NASDAQ
AMCON Distributing Co, DIT,AMEX
Amcor Limited ADS, AMCR,NASDAQ
Amcor plc, AMCR,NYSE
Amcore Financial, AMFI,NASDAQ
Amdocs Ltd, DOX,NASDAQ
Amedisys Inc, AMED,NASDAQ
Amer Bio Medica Corp Wts, ABMCW,NASDAQ
Amer First Tax Exempt Inv L.P., ATAXZ,NASDAQ
Amer Medical Sys Hldgs, AMMD,NASDAQ
Amerant Bancorp Inc, AMTB,NASDAQ
Amerant Bancorp Inc, AMTBB,NASDAQ
Amerco, UHAL,NASDAQ
Ameren Corp, AEE,NYSE
Ameresco Inc, AMRC,NYSE
Ameri Holdings Inc, AMRH,NASDAQ
America Service Grp. Inc., ASGR,NASDAQ
American Acces Technologies, AATK,NASDAQ
American Acquisition Opportunity Inc, AMAO,NASDAQ
American Airlines Group Inc, AAL,NASDAQ
American Airlines Group Inc, AAL,NASDAQ
American Assets Trust Inc, AAT,NYSE
American Axle and Manufacturing Holdings Inc, AXL,NYSE
American Bancorp N J, ABNJ,NASDAQ
American Bank, AMBKW,NASDAQ
American Beacon Ipm Systematic Macro Fund - Ultra Class, IPMUX,NASDAQ
American Campus Communities Inc, ACC,NYSE
American Capital, ACAS,NASDAQ
American Commercial Lines, ACLI,NASDAQ
American Commercial Lines, ACLID,NASDAQ
American Dental Partners, ADPI,NASDAQ
American Eagle Outfitters, AEOS,NASDAQ
American Eagle Outfitters Inc, AEO,NYSE
American Electric Power Company Inc, AEP,NASDAQ
American Electric Power Company Inc, AEP,NYSE
American Electric Technologies Inc, AETI,NASDAQ
American Equity Investment Life Holding Company, AEL,NYSE
American Express Company, AXP,NYSE
American Farmland Company, AFCO,AMEX
American Financial Group, AFG,NYSE
American Financial Group Inc, AFGH,NYSE
American Financial Trust Inc, AFIN,NASDAQ
American Homes 4 Rent, AMH,NYSE
American Homes 4 Rent, AMHPRE,NYSE
American Independence Corp., AMIC,NASDAQ
American International Group Inc, AIG,NYSE
American Italian Pasta, AIPC,NASDAQ
American Learning, AMCE,NASDAQ
American Lorain Corp., ALN,AMEX
American Medical Alert Corp., AMAC,NASDAQ
American Midstream Partners LP, AMID,NYSE
American Mold Guard, AMGI,NASDAQ
American Mold Guard CL A Wrt, AMGIW,NASDAQ
American Mold Guard CL B Wrt, AMGIZ,NASDAQ
American National Bankshares Inc, AMNB,NASDAQ
American National Group Inc, ANAT,NASDAQ
American Outdoor Brands Corporation, AOBC,NASDAQ
American Outdoor Brands Inc, AOUT,NASDAQ
American Outdoor Brands Inc, AOUTV,NASDAQ
American Pacific Bank - Class B Common Stock, AMPB,NASDAQ
American Pacific Corp., APFC,NASDAQ
American Physicians Capital, ACAP,NASDAQ
American Public Education Inc, APEI,NASDAQ
American Realty Investors Inc, ARL,NYSE
American Renal Associates Holdings Inc, ARA,NYSE
American Residential Properties, ARPI,NYSE
American Resources Corporation, AREC,NASDAQ
American River Bankshares, AMRB,NASDAQ
American Science And Engineering, ASEI,NASDAQ
American Shared Hospital Services, AMS,AMEX
American Software Inc, AMSWA,NASDAQ
American States Water Co, AWR,NYSE
American Superconductor Corp, AMSC,NASDAQ
American Technology, ATCO,NASDAQ
American Tower Corporation, AMT,NYSE
American Vanguard Corporation, AVD,NYSE
American Virtual Cloud Technologies Inc, AVCT,NASDAQ
American Virtual Cloud Technologies Inc, AVCT,NASDAQ
American Water Works, AWK,NYSE
American Well Corporation, AMWL,NYSE
American Woodmark Corp, AMWD,NASDAQ
Americas Car Mart Inc, CRMT,NASDAQ
Americas Gold and Silver Corporation, USAS,AMEX
Americas Technology Acquisition Corp, ATA,NYSE
Americasbank, AMAB,NASDAQ
Americold Realty Trust, COLD,NYSE
AmeriGas Partners LP, APU,NYSE
AmeriHome Inc, AHM,NYSE
Ameriprise Financial Inc, AMP,NYSE
AMERIQUEST, AMQ,NASDAQ
Ameris Bancorp, ABCB,NASDAQ
AMERISAFE Inc, AMSF,NASDAQ
AmeriServ Financial Inc, ASRV,NASDAQ
AmerisourceBergen Corp, ABC,NYSE
Ameristar Casinos, ASCA,NASDAQ
Ameritrans Cap Corp 4/18/07, AMTCW,NASDAQ
Ames National Corporation, ATLO,NASDAQ
Amesite Inc, AMST,NASDAQ
Ametek Inc, AME,NYSE
Amgen Inc, AMGN,NASDAQ
Amicas, AMCS,NASDAQ
Amicus Therapeutics Inc, FOLD,NASDAQ
Amira Nature Foods Ltd, RYCE,NYSE
Amira Nature Foods Ltd, ANFI,NYSE
Amis Holdings, AMIS,NASDAQ
Amkor Technology Inc, AMKR,NASDAQ
AMMO Inc, POWW,NASDAQ
Amn Healthcare Services Amn Healthcare Services, AHS,NYSE
AMN Healthcare Services Inc, AMN,NYSE
Amneal Pharmaceuticals Inc, AMRX,NYSE
Ampco Pittsburgh Corp, AP,NYSE
Ampex Corp Class A, AMPX,NASDAQ
Ampex Corp Class A, WHUN,NASDAQ
Amphastar Pharmaceuticals Inc, AMPH,NASDAQ
Amphenol Corp, APH,NYSE
Ampio Pharmaceuticals Inc, AMPE,AMEX
Amplify Energy Corp, AMPY,NYSE
Amplitech Group Inc, AMPG,NASDAQ
Amplitude Healthcare Acquisition Corporation, AMHC,NASDAQ
Amplitude Healthcare Acquisition Corporation, AMHCW,NASDAQ
Amplitude Inc, AMPL,NASDAQ
AMREP Corp, AXR,NYSE
